Nº chamada,Nº REDS,Data/hora de criação,Local do fato,Latitude  do local,Longitude do local,Natureza,Unidade Responsável,Recursos empenhados,Alerta,Destaque,Envolve autoridade,Tipo de classificação,Situação,Data/hora da situação atual,Evento associado
2025-37783310-0,(BM) 2025-005843802-001,06/02/2025 21:37:14,"RUA ANA VALENTINA NOGUEIRA, Nº 320 - SHOPPING PARK - UBERLANDIA",-18.9870492,-48.2719642,V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta),5BBM/1CIA/7PEL(SAO JORGE),UR05921-05,Não,Não,Não,Desconhecido,Em direção,06/02/2025 22:14:22,Não
2025-37783423-7,(BM) 2025-005842381-001,06/02/2025 21:46:24,"RUA ANDORRA, Nº 245 - VILA PRESIDENTE VARGAS - UBERABA",-19.7317597,-47.9168119,V01013 - VITIMA DE EMERGENCIAS PSIQUIATRICAS (C) (Prioridade: 1 - Alta),8BBM/1CIA/1PEL,UR02107,Não,Não,Não,Desconhecido,À caminho,06/02/2025 21:46:40,Não
2025-37783806-6,Desconhecido,06/02/2025 22:10:13,"RUA RUY BARBOSA DE SOUZA, Nº 985 - MORADA NOVA - UBERLANDIA",-18.9892759,-48.3664468,V01015 - VITIMA COM HEMORRAGIA (C) (Prioridade: 1 - Alta),5BBM/1CIA/6PEL/OESTE,Desconhecido,Não,Não,Não,Desconhecido,Atribuída ao órgão,06/02/2025 22:10:13,Não
2024-35126444-5,Desconhecido,22/08/2024 16:31:03,"RODOVIA MG 344, Km 80 - PRATAPOLIS",-20.6959226,-46.8394811,W98011 - SOLICITACAO DE APOIO (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/2PEL(S S DO PARAISO),BM1549815,Não,Não,Não,DUPLICADA,Classificada,22/08/2024 22:56:03,Não
2024-36371685-9,Desconhecido,08/11/2024 11:18:17,"RUA ANTIOGO PODDIS GRILO, Nº S/N - NOSSA SENHORA DE LOURDES - ITAJUBA",-22.4319165,-45.4699392,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),7CIA IND/1CIA/2PEL(ITAJUBA),Desconhecido,Não,Não,Não,Desconhecido,Atribuída ao órgão,08/11/2024 11:18:17,Não
2024-36991178-7,Desconhecido,17/12/2024 23:13:15,"ESTRADA - BRACO DAS ANTAS, Nº S/N - CAMBUI",-22.62055,-46.094274,S05499 - OUTROS TIPOS DE ACIDENTES DE TRANSITO DIVERSOS   (C) (Prioridade: 1 - Alta),7CIA IND/1CIA/3PEL(EXTREMA),Desconhecido,Não,Não,Não,REPASSADA A OUTROS ÓRGAOS,Classificada,17/12/2024 23:23:13,Não
2025-37722861-0,Desconhecido,03/02/2025 07:14:14,"RUA BENJAMIN CONSTANT, Nº 1500 - VILA SANTA LUZIA - ALFENAS",-21.4153077,-45.9432506,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),1CIA IND/3CIA/1PEL/PA BM (MACHADO),Desconhecido,Não,Não,Não,Desconhecido,Atribuída ao órgão,03/02/2025 07:14:14,Não
2025-37738908-1,Desconhecido,04/02/2025 06:49:05,"RUA AMACIO MAZZAROPI, Nº 195 - ESTANCIA SAO JOSE - POCOS DE CALDAS",-21.7980866,-46.5188071,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),1CIA IND/1CIA/1PEL,Desconhecido,Não,Não,Não,Desconhecido,Atribuída ao órgão,04/02/2025 16:19:17,Não
2025-37742271-0,(BM) 2025-005400357-002,04/02/2025 12:13:29,"RUA DOUTOR JOSE NORBERTO DE ANDRADE, Nº 140 - BOM RETIRO - PERDOES",-21.0965203,-45.0915871,S06009 - CORTE / PODA DE ARVORE MEDIANTE ORDEM DE SERVICO (C) (Prioridade: 2 - Média),9BBM/2CIA/1PEL(LAVRAS),ASL02267,Não,Não,Não,Desconhecido,Terminada,05/02/2025 17:12:21,Não
2025-37742622-2,(BM) 2025-005403846-001,04/02/2025 12:57:12,"ALAMEDA DONATILHA PASSOS SWERTS, Nº 185 - JARDIM DO LAGO - MACHADO",-21.6862471,-45.9233888,Q03001 - TREINAMENTO DE COMBATE A INCENDIO (C) (Prioridade: 2 - Média),1CIA IND/3CIA/1PEL/PA BM (MACHADO),BM1795376,Não,Não,Não,Desconhecido,Terminada,04/02/2025 14:37:08,Não
2025-37744686-6,(BM) 2025-005460271-001,04/02/2025 15:10:55,"RUA CORONEL AZARIAS, Nº 327 - CENTRO - MACHADO",-21.6723296,-45.9268155,S06007 - CORTE / PODA DE ARVORE COM RISCO IMINENTE DE QUEDA (C) (Prioridade: 2 - Média),1CIA IND/3CIA/1PEL/PA BM (MACHADO),ASL00063,Não,Não,Não,Desconhecido,Terminada,04/02/2025 17:49:19,Não
2025-37755975-5,(BM) 2025-005546995-001,05/02/2025 09:01:45,"LUGAREJO BRU0174 - CORREGO DO FEIJAO, Nº S/N - BRUMADINHO",-20.1357485,-44.1091274,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),7CIA IND/1CIA/1PEL,BM1844588,Não,Não,Não,Desconhecido,Em controle,05/02/2025 09:01:51,Não
2025-37760220-0,(BM) 2025-005595630-001,05/02/2025 14:51:43,"ACESSO RURAL BAIRRO DA BOMBA, Nº S/N - PARAISOPOLIS",0.0,0.0,V01018 - VITIMA DE MAL NAO DEFINIDO (DISTURBIO) (C) (Prioridade: 1 - Alta),7CIA IND/1CIA/2PEL/BRI MUN PARAISOPOLIS,AMB002,Não,Não,Não,Desconhecido,Terminada,05/02/2025 15:33:42,Não
2025-37763025-1,(BM) 2025-005633860-001,05/02/2025 17:34:51,"RUA ITALO RUSSO, Nº 235 - JARDIM ORMINDA DOIS - GUAXUPE",-21.315766,-46.7104166,S06008 - CORTE DE ARVORE CAIDA EM VIA PUBLICA (C) (Prioridade: 2 - Média),1CIA IND/3CIA/2PEL(GUAXUPE),ASL00070,Não,Não,Não,Desconhecido,Terminada,05/02/2025 18:57:47,Não
2025-37765122-9,(BM) 2025-005649785-001,05/02/2025 19:54:39,"RUA BAHIA, Nº 10 - NOSSA SENHORA DAS DORES - GUAXUPE",-21.3138577,-46.6952381,S04012 - BUSCA E SALVAMENTO EM LOCAL DE DIFICIL ACESSO (C) (Prioridade: 1 - Alta),1CIA IND/3CIA/2PEL(GUAXUPE),ASL00070,Não,Não,Não,Desconhecido,Terminada,05/02/2025 20:28:00,Não
2025-37765584-4,(BM) 2025-005653890-001,05/02/2025 20:21:51,"AVENIDA JOSE PEREIRA DE SOUZA DIAS, Nº 500 - NOVO HORIZONTE - PARAISOPOLIS",-22.5570179,-45.7730475,S06005 - CAPTURA DE INSETOS (C) (Prioridade: 2 - Média),7CIA IND/1CIA/2PEL/BRI MUN PARAISOPOLIS,AMB002,Não,Não,Não,Desconhecido,Terminada,05/02/2025 20:22:28,Não
2025-37770759-5,(BM) 2025-005702838-001,06/02/2025 06:31:08,"RUA ANTONIO DA SILVA NETO, Nº 199 - VARGINHA",-21.5972133,-45.4458084,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),9BBM/2CIA/1PEL(LAVRAS),APV1136,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:40:48,Não
2025-37770895-3,(BM) 2025-005703992-001,06/02/2025 06:59:59,"RUA ANTONIO VAZ MONTEIRO, Nº 220 - CENTRO - LAVRAS",-21.2270659,-45.0013582,V02407 - VITIMA DE COLISAO ENTRE AUTOMOVEL X BICICLETA (C) (Prioridade: 1 - Alta),9BBM/2CIA/1PEL(LAVRAS),UR05486,Não,Não,Não,Desconhecido,Terminada,06/02/2025 07:42:37,Não
2025-37770952-5,(BM) 2025-005708415-001,06/02/2025 07:08:00,"RUA IRMAO GONCALVES XAVIER, Nº 180 - JARDIM RIBEIRO - VARGINHA",-21.5890999,-45.439142,V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO (C) (Prioridade: 1 - Alta),9BBM/1CIA/1PEL,UR05474,Não,Não,Não,Desconhecido,Terminada,06/02/2025 08:00:48,Não
2025-37771172-1,(BM) 2025-005707267-001,06/02/2025 07:40:07,"RUA JAIME SANTOS, Nº 530 - JARDIM AEROPORTO - ALFENAS",-21.4320387,-45.9353649,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),1CIA IND/3CIA/1PEL(ALFENAS),APF01365,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:58:07,Não
2025-37771271-3,(BM) 2025-005707605-001,06/02/2025 07:51:38,"TRAVESSA MARIA DE LOURDES DAMASCENO, Nº 15 - VILA FREI ORESTE - PARAISOPOLIS",-22.5428459,-45.7772819,V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta),7CIA IND/1CIA/2PEL/BRI MUN PARAISOPOLIS,AMB002,Não,Não,Não,Desconhecido,Terminada,06/02/2025 08:23:58,Não
2025-37771403-2,(BM) 2025-005713433-001,06/02/2025 08:06:01,"RUA DOUTOR CARVALHO, Nº 1455 - NOSSA SENHORA DAS GRAÇAS - PASSOS",-20.7352269,-46.6037303,Q03017 - TREINAMENTO DE PRIMEIROS SOCORROS (C) (Prioridade: 2 - Média),1CIA IND/2CIA/1PEL(PASSOS),BM1525005,Não,Não,Não,Desconhecido,Terminada,06/02/2025 09:09:37,Não
2025-37771585-1,(BM) 2025-005710574-001,06/02/2025 08:20:30,"AVENIDA ANA CARNEIRO RENNO, Nº 540 - SANTO ANTONIO - ITAJUBA",-22.4372743,-45.4663523,V01009 - VITIMA COM DOR NA COLUNA VERTEBRAL (COSTAS) (C) (Prioridade: 1 - Alta),7CIA IND/1CIA/2PEL(ITAJUBA),UR05590,Não,Não,Não,Desconhecido,Terminada,06/02/2025 09:33:04,Não
2025-37771587-7,(BM) 2025-005710349-001,06/02/2025 08:20:43,"RUA SAO JOSE, Nº 383 - COUNTRY CLUB - POCOS DE CALDAS",-21.7879388,-46.5912394,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),1CIA IND/1CIA/PEL PREVENCAO E VISTORIA,APF01375,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:01:40,Não
2025-37771710-1,(BM) 2025-005711538-001,06/02/2025 08:28:51,"AVENIDA BENJAMIM CONSTANT, Nº 275 - AREA CENTRAL - VARGINHA",-21.5605584,-45.4428207,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),9BBM/1CIA/1PEL,ASL06128,Não,Não,Não,Desconhecido,Terminada,06/02/2025 10:18:35,Não
2025-37771736-5,(BM) 2025-005711986-001,06/02/2025 08:33:20,"RUA GERALDO JULIO DE FARIA NETO, Nº 75 - RESIDENCIAL JARBAS BARBOSA - BOA ESPERANCA",-21.0827826,-45.5451741,Q03999 - OUTROS TIPOS DE TREINAMENTO (C) (Prioridade: 2 - Média),9BBM/1CIA/PA BM(BOA ESPERANCA),ASL02254,Não,Não,Não,Desconhecido,Terminada,06/02/2025 12:58:47,Não
2025-37771820-0,(BM) 2025-005712940-001,06/02/2025 08:38:58,"RUA IRMAO MANOEL GALDINO, Nº 98 - SANTA CRUZ - LAVRAS",-21.2688499,-44.9760279,V01009 - VITIMA COM DOR NA COLUNA VERTEBRAL (COSTAS) (C) (Prioridade: 1 - Alta),9BBM/2CIA/1PEL(LAVRAS),UR05486,Não,Não,Não,Desconhecido,Terminada,06/02/2025 09:14:05,Não
2025-37771895-9,(BM) 2025-005713643-001,06/02/2025 08:46:18,"ALAMEDA DONATILHA PASSOS SWERTS, Nº 185 - JARDIM DO LAGO - MACHADO",-21.6862471,-45.9233888,Q03005 - TREINAMENTO DE SALVAMENTO TERRESTRE (C) (Prioridade: 2 - Média),1CIA IND/3CIA/1PEL/PA BM (MACHADO),BM1363514,Não,Não,Não,Desconhecido,Terminada,06/02/2025 09:48:01,Não
2025-37772065-7,(BM) 2025-005724405-001,06/02/2025 09:02:03,"RUA MONTREAL, Nº 189 - JARDIM NOVO MUNDO 2 - POCOS DE CALDAS",-21.7958522,-46.5874704,V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta),1CIA IND/1CIA/1PEL,UR05589,Não,Não,Não,Desconhecido,Terminada,06/02/2025 12:05:54,Não
2025-37772270-6,(BM) 2025-005718947-001,06/02/2025 09:17:05,"RUA GENARO JOELE, Nº 274 - DISTRITO INDUSTRIAL 1 - PASSOS",-20.7066956,-46.5933737,P02001 - VISTORIA EM HIDRANTE (C) (Prioridade: 2 - Média),1CIA IND/2CIA/1PEL(PASSOS),ASL06087,Não,Não,Não,Desconhecido,Terminada,06/02/2025 10:23:53,Não
2025-37772390-8,(BM) 2025-005720372-001,06/02/2025 09:27:10,"RUA DOUTOR EVARISTO CABRAL RENNO, Nº 278 - MEDICINA - ITAJUBA",-22.4357898,-45.4582628,V01018 - VITIMA DE MAL NAO DEFINIDO (DISTURBIO) (C) (Prioridade: 1 - Alta),7CIA IND/1CIA/2PEL(ITAJUBA),UR05590,Não,Não,Não,Desconhecido,Terminada,06/02/2025 10:17:05,Não
2025-37772563-4,(BM) 2025-005721756-001,06/02/2025 09:41:33,"RUA DOUTOR JOAO BATISTA REIS, Nº S/N - PARQUE ILEANA - VARGINHA",-21.5517552,-45.4262537,V01002 - VITIMA COM CEFALEIA AGUDA / ENXAQUECA (C) (Prioridade: 1 - Alta),9BBM/1CIA/1PEL,UR05474,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:28:52,Não
2025-37772714-8,(BM) 2025-005723231-001,06/02/2025 09:53:58,"RODOVIA BR 381, Km 492, Nº S/N - EXTREMA",0.0,0.0,V01023 - VITIMA DE SINCOPE (DESMAIO)/VERTIGEM (C) (Prioridade: 1 - Alta),7CIA IND/1CIA/3PEL(EXTREMA),UR02096,Não,Sim,Não,Desconhecido,Terminada,06/02/2025 10:50:10,Não
2025-37772757-0,(BM) 2025-005731554-001,06/02/2025 09:59:26,"AVENIDA RICARDO ANNONE FILHO, Nº S/N - VILA BOA FÉ - MACHADO",-21.6852693,-45.9308888,S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média),1CIA IND/3CIA/1PEL/PA BM (MACHADO),ASL00063,Não,Não,Não,Desconhecido,Terminada,06/02/2025 12:54:51,Não
2025-37772899-5,(BM) 2025-005726630-001,06/02/2025 10:12:11,"RUA VEREADOR BENEDITO MACEDO, Nº S/N - PEDRA MAMONA - ITAJUBA",-22.459833,-45.4148187,V01013 - VITIMA DE EMERGENCIAS PSIQUIATRICAS (C) (Prioridade: 1 - Alta),7CIA IND/1CIA/2PEL(ITAJUBA),UR05590,Não,Não,Não,Desconhecido,Terminada,06/02/2025 14:41:14,Não
2025-37773057-4,(BM) 2025-005727650-001,06/02/2025 10:23:46,"AVENIDA PROJETADA, Nº S/N - JARDIM FLORENCA - PASSOS",-20.6924763,-46.6115051,P02001 - VISTORIA EM HIDRANTE (C) (Prioridade: 2 - Média),1CIA IND/2CIA/1PEL(PASSOS),ASL06087,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:22:05,Não
2025-37773313-2,(BM) 2025-005736061-001,06/02/2025 10:44:24,"PRACA DOUTOR ALCIDES MOSCONI, Nº S/N - CENTRO - ANDRADAS",-22.0686473,-46.5705987,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),1CIA IND/1CIA/1PEL/PA BM(ANDRADAS),ASL06072,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:14:08,Não
2025-37773428-4,(BM) 2025-005732574-001,06/02/2025 10:53:16,"RUA DUQUE  DE CAXIAS, Nº S/N - CENTRO - PARAISOPOLIS",-22.5506172,-45.7812767,V01025 - VITIMA DE USO / ABUSO / DEPENDENCIA DE DROGAS / ALCOOL (C) (Prioridade: 2 - Média),7CIA IND/1CIA/2PEL/BRI MUN PARAISOPOLIS,AMB002,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:00:48,Não
2025-37773521-0,(BM) 2025-005733707-001,06/02/2025 11:01:02,"AVENIDA PRESIDENTE WENCESLAU BRAZ, Nº 400 - BOA ESPERANCA - POCOS DE CALDAS",-21.7898139,-46.5377425,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),1CIA IND/1CIA/PEL PREVENCAO E VISTORIA,APF01375,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:01:38,Não
2025-37773649-3,(BM) 2025-005742331-001,06/02/2025 11:11:49,"RUA ASTOLPHO JOSE DE CASTRO, Nº 345 - JARDIM ALVORADA - SAO SEBASTIAO PARAISO",-20.9198434,-46.961284,V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/2PEL(S S DO PARAISO),UR05524,Não,Não,Não,Desconhecido,Terminada,06/02/2025 12:25:42,Não
2025-37773941-5,(BM) 2025-005765875-001,06/02/2025 11:36:54,"RUA LUIZ GONZAGA SALOMOM, Nº 238 - PINHEIRINHO - ITAJUBA",-22.4076539,-45.4487506,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),7CIA IND/1CIA/2PEL(ITAJUBA),ASL00147,Não,Não,Não,Desconhecido,Terminada,06/02/2025 16:26:40,Não
2025-37774136-4,(BM) 2025-005741562-001,06/02/2025 11:56:50,"ALAMEDA ACACIAS, Nº 20 - Jd. Paraíso - ELOI MENDES",0.0,0.0,P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média),9BBM/1CIA/3PEL,APF01378,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:58:01,Não
2025-37774138-0,(BM) 2025-005741679-001,06/02/2025 11:57:49,"AVENIDA CELINA FERREIRA OTTONI, Nº 4855 - PADRE VITOR - VARGINHA",-21.5771414,-45.4055648,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),9BBM/1CIA/3PEL,APF01378,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:58:21,Não
2025-37774173-0,(BM) 2025-005741785-001,06/02/2025 11:58:46,"AVENIDA CELINA FERREIRA OTTONI, Nº 4855 - PADRE VITOR - VARGINHA",-21.5771414,-45.4055648,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),9BBM/1CIA/3PEL,APF01378,Não,Não,Não,Desconhecido,Terminada,06/02/2025 11:59:08,Não
2025-37774232-8,(BM) 2025-005758018-001,06/02/2025 12:06:30,"RUA AGOSTINHO SOUZA LIMA, Nº 91 - APARECIDA - POCOS DE CALDAS",-21.7881545,-46.5588193,V01009 - VITIMA COM DOR NA COLUNA VERTEBRAL (COSTAS) (C) (Prioridade: 1 - Alta),1CIA IND/1CIA/1PEL,UR05589,Não,Não,Não,Desconhecido,Terminada,06/02/2025 14:10:37,Não
2025-37774274-8,(BM) 2025-005749320-001,06/02/2025 12:10:34,"RUA JOAQUIM SILVEIRA BORGES, Nº 147 - PASSOS",-20.7273209,-46.5824087,V01003 - VITIMA COM CRISE CONVULSIVA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR00565,Não,Não,Não,Desconhecido,Terminada,06/02/2025 13:22:46,Não
2025-37774312-5,(BM) 2025-005743559-001,06/02/2025 12:14:59,"AVENIDA ALCEBIADES GILLI, Nº 856 - CENTRO - EXTREMA",-22.8559864,-46.3242316,Q03003 - TREINAMENTO DE SALVAMENTO AQUATICO (C) (Prioridade: 2 - Média),7CIA IND/1CIA/3PEL(EXTREMA),ASL02318,Não,Sim,Não,Desconhecido,Terminada,06/02/2025 13:12:59,Não
2025-37774362-3,(BM) 2025-005745467-001,06/02/2025 12:19:40,"RUA CABO BENEDITO ALVES, Nº 565 - COTIA - TRES CORACOES",0.0,0.0,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),9BBM/2CIA/2PEL(TRES CORACOES),UR05925,Não,Não,Não,Desconhecido,Terminada,06/02/2025 12:35:12,Não
2025-37774423-6,(BM) 2025-005745558-001,06/02/2025 12:25:16,"AVENIDA ARISTIDES RIBEIRO, Nº 95 - JARDIM RIBEIRO - VARGINHA",-21.5915262,-45.4411607,V03999 - OUTROS TIPOS DE APH DE TRAUMAS DIVERSOS   (C) (Prioridade: 1 - Alta),9BBM/1CIA/1PEL,UR05474,Não,Não,Não,Desconhecido,Terminada,06/02/2025 13:24:35,Não
2025-37774500-5,(BM) 2025-005745701-001,06/02/2025 12:33:35,"RUA GOVERNADOR ISRAEL PINHEIRO, Nº 160 - SANTA AUGUSTA - POCOS DE CALDAS",-21.7926734,-46.5723038,S06002 - CAPTURA DE ANIMAL SILVESTRE PERIGOSO / AGRESSIVO (C) (Prioridade: 2 - Média),1CIA IND/1CIA/1PEL,ASM10134,Não,Não,Não,Desconhecido,Terminada,06/02/2025 13:40:42,Não
2025-37774581-7,Desconhecido,06/02/2025 12:43:27,"RUA SAO FRANCISCO, Nº 424 - VILA FORMOSA - SAO SEBASTIAO PARAISO",-20.9165835,-46.971817,V01023 - VITIMA DE SINCOPE (DESMAIO)/VERTIGEM (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/2PEL(S S DO PARAISO),UR05524,Não,Não,Não,Desconhecido,Terminada,06/02/2025 13:26:59,Não
2025-37774609-4,Desconhecido,06/02/2025 12:50:51,"AVENIDA IOLANDA JUNQUEIRA MELLO, Nº 660 - PARQUE DAS NACOES - POCOS DE CALDAS",-21.8501154,-46.5624617,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),1CIA IND/1CIA/1PEL,ASM10134,Não,Não,Não,Desconhecido,Terminada,06/02/2025 16:40:34,Não
2025-37774969-0,(BM) 2025-005751057-001,06/02/2025 13:26:36,"RODOVIA BR 265, Nº S/N - BOA ESPERANCA",-21.0657804,-45.5772175,S06008 - CORTE DE ARVORE CAIDA EM VIA PUBLICA (C) (Prioridade: 2 - Média),9BBM/1CIA/PA BM(BOA ESPERANCA),ASL02254,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:41:32,Não
2025-37775022-0,(BM) 2025-005834751-001,06/02/2025 13:27:54,"AVENIDA OLIVEIRA REZENDE, Nº 730 - CENTRO - SAO SEBASTIAO PARAISO",-20.9134815,-46.9976481,V02408 - VITIMA DE COLISAO ENTRE AUTOMOVEL X MOTOCICLETA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/2PEL(S S DO PARAISO),UR05524,Não,Não,Não,Desconhecido,Terminada,06/02/2025 14:28:24,Não
2025-37775034-0,(BM) 2025-005751542-001,06/02/2025 13:29:30,"PRACA CORONEL SIMEAO, Nº S/N - CENTRO - EXTREMA",-22.8557304,-46.3184341,Y30004 - OPERACAO PREVENTIVA PARA REDUCAO DE INCENDIOS / ACIDENTES (C) (Prioridade: 3 - Baixa),7CIA IND/1CIA/3PEL(EXTREMA),ASL02318,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:47:15,Não
2025-37775093-9,(BM) 2025-005763380-001,06/02/2025 13:34:20,"RUA COMENDADOR JOSE ESTEVES, Nº 737 - CENTRO - LAVRAS",-21.2401961,-44.9965577,P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média),9BBM/2CIA/1PEL(LAVRAS),APF01357,Não,Não,Não,Desconhecido,Terminada,06/02/2025 14:29:47,Não
2025-37775185-5,(BM) 2025-005752939-001,06/02/2025 13:40:18,"AVENIDA JUSTINO RIBEIRO, Nº 300 - JARDIM DOS ESTADOS - POCOS DE CALDAS",-21.7824674,-46.5536931,P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média),1CIA IND/1CIA/PEL PREVENCAO E VISTORIA,APF01375,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:40:28,Não
2025-37775302-7,Desconhecido,06/02/2025 13:46:04,"PRACA DOUTOR OLEGARIO MACIEL, Nº S/N - CENTRO - SAO SEBASTIAO PARAISO",-20.9148117,-46.9980896,V01018 - VITIMA DE MAL NAO DEFINIDO (DISTURBIO) (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/2PEL(S S DO PARAISO),UR05524,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:48:58,Não
2025-37775309-6,(BM) 2025-005754349-001,06/02/2025 13:48:17,"AVENIDA PAULO RIBEIRO DO VALLE, Nº 1539 - JAPY - GUAXUPE",-21.2906713,-46.6975221,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),1CIA IND/3CIA/2PEL/GPV(GUAXUPE),APF01361,Não,Não,Não,Desconhecido,Terminada,06/02/2025 14:17:02,Não
2025-37775443-9,(BM) 2025-005785939-001,06/02/2025 13:56:54,"RUA HELIO PEDROSO DE ALVARENGA, Nº 8 - JARDIM NOSSA SENHORA APARECIDA - EXTREMA",-22.8575563,-46.3251392,S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média),7CIA IND/1CIA/3PEL(EXTREMA),ASL02318,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:59:25,Não
2025-37775474-2,(BM) 2025-005782465-001,06/02/2025 13:59:02,"AVENIDA DOUTOR DAVID BENEDITO OTTONI, Nº 1072 - JARDIM DOS ESTADOS - POCOS DE CALDAS",-21.7774888,-46.5594105,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),1CIA IND/1CIA/1PEL,ASM10134,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:57:06,Não
2025-37775485-9,Desconhecido,06/02/2025 13:59:14,"RUA DOUTOR PLACIDINO BRIGAGAO, Nº 2480 - LAGOINHA - SAO SEBASTIAO PARAISO",-20.9220848,-46.9793968,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),1CIA IND/2CIA/2PEL(S S DO PARAISO),BM1550052,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:40:48,Não
2025-37775824-2,(BM) 2025-005762906-001,06/02/2025 14:20:56,"RUA HORACIO FERREIRA LOPES, Nº 1139 - JARDIM DOM HERMINIO - GUAXUPE",-21.3033795,-46.7245557,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),1CIA IND/3CIA/2PEL/GPV(GUAXUPE),APF01361,Não,Não,Não,Desconhecido,Terminada,06/02/2025 14:34:34,Não
2025-37775971-7,(BM) 2025-005834827-001,06/02/2025 14:27:51,"AVENIDA ZOROASTRO BICEGO, Nº 857 - JARDIM COOLAPA - SAO SEBASTIAO PARAISO",-20.9151503,-46.9770912,S04012 - BUSCA E SALVAMENTO EM LOCAL DE DIFICIL ACESSO (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/2PEL(S S DO PARAISO),ABTS10498,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:13:24,Não
2025-37776132-4,(BM) 2025-005763995-001,06/02/2025 14:35:20,"AVENIDA DONA FLORIANA, Nº 1881 - JARDIM DOM HERMINIO - GUAXUPE",-21.3035299,-46.7242992,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),1CIA IND/3CIA/2PEL/GPV(GUAXUPE),APF01361,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:08:43,Não
2025-37776237-2,(BM) 2025-005776182-001,06/02/2025 14:41:48,"RUA BENEDITO RAMOS DOS REIS, Nº 260 - SANTANA DO PEDREGAL - POCOS DE CALDAS",-21.7804558,-46.5459282,P02002 - VISTORIA EM RISCO DE QUEDA DE ARVORE (C) (Prioridade: 2 - Média),1CIA IND/1CIA/1PEL,ASM10134,Não,Não,Não,Desconhecido,Terminada,06/02/2025 15:41:19,Não
